URL,英語タイトル,講演者,投稿済み
https://www.ted.com/talks/al_gore_wanjira_mathai_and_karenna_gore_the_ethical_case_for_taking_on_the_climate_crisis,"The ethical case for taking on the climate crisisAl Gore, Wanjira Mathai and Karenna",Al Gore Wanjira Mathai And Karenna Gore,
https://www.ted.com/talks/jackie_lebo_an_art_movement_built_on_ancestral_wisdom,An art movement built on ancestral wisdom,Jackie Lebo,
https://www.ted.com/talks/jesse_ilhardt_the_benefits_of_play_in_child_brain_development,The benefits of play in child brain development,Jesse Ilhardt,
https://www.ted.com/talks/akram_awad_will_ai_make_humans_useless,Will AI make humans useless?,Akram Awad,
https://www.ted.com/talks/shantel_george_the_seed_that_gave_coca_cola_its_name,The seed that gave Coca-Cola its name,Shantel George,
https://www.ted.com/talks/sara_beery_how_ai_is_unearthing_hidden_scientific_knowledge,How AI is unearthing hidden scientific knowledge,Sara Beery,
https://www.ted.com/talks/timm_chiusano_the_daily_practice_that_could_rewire_your_brain,The daily practice that could rewire your brain,Timm Chiusano,
https://www.ted.com/talks/sean_sherman_how_to_eat_with_awareness_and_purpose,How to eat with awareness and purpose,Sean Sherman,
https://www.ted.com/talks/nicola_twilley_how_the_fridge_changed_food,How the fridge changed food,Nicola Twilley,
https://www.ted.com/talks/olaf_grawert_why_are_we_demolishing_homes_during_a_housing_crisis,Why are we demolishing homes during a housing crisis?,Olaf Grawert,
https://www.ted.com/talks/tom_chi_the_army_of_autonomous_robots_restoring_nature,The army of autonomous robots restoring nature,Tom Chi,
https://www.ted.com/talks/cella_wright_this_is_what_happens_in_your_brain_when_you_can_t_recall_a_word,This is what happens in your brain when you can’t recall a word,Cella Wright,
https://www.ted.com/talks/harini_bhat_the_thrill_of_not_knowing_all_the_answers,The thrill of not knowing all the answers,Harini Bhat,
https://www.ted.com/talks/mercedes_bidart_can_ai_uplift_entrepreneurs_that_traditional_banks_reject,Can AI uplift entrepreneurs that traditional banks reject?,Mercedes Bidart,
https://www.ted.com/talks/trish_millines_dziko_how_we_can_unlock_every_student_s_genius,How we can unlock every student’s genius,Trish Millines Dziko,
https://www.ted.com/talks/sarah_kay_the_minister_of_loneliness,"""The Minister of Loneliness""",Sarah Kay,
https://www.ted.com/talks/jennifer_crank_how_to_communicate_with_your_dog_from_a_westminster_champion,"How to communicate with your dog, from a Westminster champion",Jennifer Crank,
https://www.ted.com/talks/wendy_troxel_what_lack_of_sleep_does_to_the_teenage_brain,What lack of sleep does to the teenage brain,Wendy Troxel,
https://www.ted.com/talks/paul_tazewell_wicked_s_costume_designer_on_how_to_tell_stories_with_clothes,Wicked's costume designer on how to tell stories with clothesPaul Tazewell,Paul Tazewell Wicked S Costume Designer,
https://www.ted.com/talks/hanif_abdurraqib_and_sarah_kay_how_to_love_your_hometown,How to love your hometownHanif Abdurraqib and Sarah Kay,Hanif Abdurraqib And Sarah Kay,
https://www.ted.com/talks/tasso_azevedo_how_to_see_and_stop_deforestation_from_space,How to see (and stop) deforestation from space,Tasso Azevedo,
https://www.ted.com/talks/francesca_hogi_how_to_unlock_your_flirting_superpowers,How to unlock your flirting superpowers,Francesca Hogi,
https://www.ted.com/talks/gerald_markowitz_and_david_rosner_why_is_lead_so_dangerous_to_humans,Why is lead so dangerous to humans?Gerald Markowitz and David,Gerald Markowitz And David Rosner,
https://www.ted.com/talks/advait_sarkar_how_to_stop_ai_from_killing_your_critical_thinking,How to stop AI from killing your critical thinking,Advait Sarkar,
https://www.ted.com/talks/edmond_rhys_jones_how_climate_shocks_could_break_the_economy,How climate shocks could break the economy,Edmond Rhys Jones,
https://www.ted.com/talks/matt_meyer_and_j_kevin_stitt_two_us_governors_a_democrat_and_a_republican_on_why_there_s_hope_for_democracy,Two US governors — a Democrat and a Republican — on why there's hope for democracyMatt Meyer and J. Kevin,Matt Meyer And J Kevin Stitt,
https://www.ted.com/talks/steve_howard_4_hard_truths_about_capitalism_and_climate,4 hard truths about capitalism and climate,Steve Howard,
https://www.ted.com/talks/juulia_jylhava_the_3_best_predictors_of_how_well_you_ll_age,The 3 best predictors of how well you’ll age,Juulia Jylhava,
https://www.ted.com/talks/chris_bahl_the_secret_language_of_cells_and_how_to_speak_it,"The secret language of cells — and how to ""speak"" it",Chris Bahl,
https://www.ted.com/talks/eli_lilly_and_company_the_memories_that_make_us_with_will_guidara,The Memories That Make Us with Will GuidaraEli Lilly and,Eli Lilly And Company,
https://www.ted.com/talks/eli_lilly_and_company_the_memories_that_make_us_with_christina_tosi,The Memories That Make Us with Christina Tosi Eli Lilly and,Eli Lilly And Company,
https://www.ted.com/talks/eli_lilly_and_company_the_memories_that_make_us_with_jon_m_chu,The Memories That Make Us with Jon M. Chu Eli Lilly and,Eli Lilly And Company,
https://www.ted.com/talks/julie_and_john_gottman_relationship_advice_from_50_years_of_marriage,Relationship advice from 50+ years of marriageJulie and John,Julie And John Gottman,
https://www.ted.com/talks/juan_m_lavista_ferres_these_ai_devices_protect_nature_in_real_time,These AI devices protect nature in real timeJuan,Juan M,
https://www.ted.com/talks/isabella_tree_3_tips_to_make_your_world_beautifully_wild_nov_2025,3 tips to make your world beautifully wild,Isabella Tree,
https://www.ted.com/talks/sean_farrington_why_your_blood_should_flow_like_ketchup,Why your blood should flow like ketchup,Sean Farrington,
https://www.ted.com/talks/erica_stone_academic_research_is_publicly_funded_why_isn_t_it_publicly_available_nov_2025,Academic research is publicly funded — why isn't it publicly available?,Erica Stone,
https://www.ted.com/talks/jason_shih_hoellwarth_how_does_leg_lengthening_surgery_work,How does leg lengthening surgery work?,Jason Shih Hoellwarth,
https://www.ted.com/talks/richard_felton_thomas_how_ai_is_discovering_athletes_that_human_scouts_miss,How AI is discovering athletes that human scouts missRichard,Richard Felton Thomas,
https://www.ted.com/talks/swami_sivasubramanian_everything_you_need_to_know_about_ai_agents,Everything you need to know about AI agents,Swami Sivasubramanian,
